0.95,387.95,155.55,599.55,
0.45,480.95,209.05,599.55,
0.45,513.95,230.05,599.55,
0.5,529,241.5,599,
1,541.5,252.5,599.5,
1.5,552.5,262,598.5,
1.5,561.5,271,598.5,
1.5,570.5,280,598.5,
1.5,582.5,281.5,598.5,
0.5,589,283.5,599,
1,592.5,285.5,599.5,
1.5,594.5,287.5,598.5,
0.45,595.45,290.05,598.55,
0.45,596.45,399.55,599.55,
303.5,594.5,399,598.5,
307.5,592.5,398.5,599.5,
314.5,590.5,399.5,599,
318.5,588.5,399,598.5,
319.95,587.45,399.55,599.55,
321.5,585.5,399,598.5,
321.95,584.45,398.55,599.55,
323.45,581.95,398.55,598.55,
324.5,579.5,399,598.5,
325.5,577.5,398.5,599.5,
326.5,575.5,399.5,599,
326.95,574.45,399.05,598.55,
328.5,572.5,398.5,599,
329.5,570.5,399.5,598.5,
330.5,568.5,399,599.5,
331.45,0.45,399.05,599.05,
278.5,1,399.5,512,
