230.45,0.45,398.55,425.05,
257.45,0.45,398.55,470.05,
270.95,0.45,398.55,503.05,
285.95,0.45,398.55,519.55,
294.95,1.45,398.55,528.05,
301.5,1.5,398.5,535,
310.5,1.5,398.5,538,
318,1.5,398.5,541,
321,1.5,398.5,542.5,
324.5,0.5,399,544.5,
324.95,0.95,398.55,545.55,
326.5,0.5,399.5,547.5,
326.95,0.95,399.05,548.55,
328.5,0.5,398.5,550.5,
329.45,0.95,398.55,553.05,
330.45,0.95,399.55,556.05,
331.45,0.95,399.05,599.55,
329.5,570.5,399.5,598.5,
327.5,574.5,399,599.5,
325.5,577.5,398.5,599.5,
323.5,581.5,399.5,599,
321.5,585.5,399,598.5,
318.95,588.45,398.55,599.05,
314.45,590.45,398.55,599.55,
310.45,591.45,399.05,599.05,
307.95,592.45,399.55,598.55,
305.5,593.5,399.5,599,
303.5,594.5,399,598.5,
300.95,595.45,398.55,598.55,
0.95,596.45,398.55,599.55,
1,590,284,598.5,
1,563,273.5,598.5,
1,485,210.5,598.5,
