288,547.5,314.5,578.5,
280,541,297.5,558.5,
274,535,291.5,552.5,
268,529,285.5,546.5,
262,523,279.5,540.5,
256,517,273.5,534.5,
251.5,511,267.5,528.5,
245.5,505,263,521,
239.5,497.5,258.5,515,
233,468.5,249,505.5,
225.5,468.5,249,495,
220.5,456,244,487,
217,452.5,242,480.5,
214,448,239,474.5,
212.5,445,237.5,473,
210.5,439,235.5,468.5,
208.5,436.5,233.5,464.5,
206.5,434,231.5,460.5,
204.5,432.5,229.5,457.5,
202.5,431.5,229,453.5,
200.5,430.5,227,449.5,
198.5,431,228,445.5,
196.5,430.5,226,443.5,
194.5,427.5,206,440.5,
192.5,426,204,437.5,
190.5,423,202,434.5,
188.5,420,200,431.5,
186.5,415.5,198,428.5,
184.5,411.5,196,424.5,
182.5,407,194,421.5,
180.5,402.5,192,418.5,
178.5,402.5,191.5,415.5,
176.5,397,189.5,411.5,
174.5,391.5,187.5,407.5,
172.5,389,187,403.5,
170.5,383,185,400.5,
168.5,377.5,183,396.5,
166.5,376.5,182.5,392.5,
164.5,368,180.5,388.5,
162.5,304,180,384.5,
160.5,303.5,179.5,382.5,
157,301.5,179,380.5,
154,301.5,179,377.5,
151,302,179,373.5,
148,302,179,367.5,
137.5,288.5,171.5,324,
131,273.5,162,307.5,
119.45,263.45,143.55,287.55,
116.45,253.45,140.55,282.05,
113.45,241.95,137.55,275.05,
110.45,226.95,136.05,267.55,
104.45,190.95,134.55,254.05,
96.45,183.45,132.55,225.55,
95.95,177.95,130.55,221.55,
95.45,174.95,128.55,220.05,
94.95,171.95,126.55,215.55,
94.5,169.5,125.5,214,
94.45,163.95,124.55,215.05,
96.45,147.45,123.55,225.55,
98.45,123.95,122.55,235.05,
102.45,93.95,399.55,134.55,
105.45,0.95,399.55,136.05,
0.95,1.45,398.55,67.55,
0.95,0.95,100.05,68.55,
0.95,0.45,98.55,75.55,
1.45,1.45,97.55,82.55,
0.45,0.95,96.55,89.55,
0.95,0.45,95.55,98.05,
1.45,0.45,94.55,107.05,
0.45,0.45,93.55,111.55,
0.95,1.45,92.55,120.05,
1.45,1.45,91.55,129.05,
0.45,1.45,90.55,138.05,
0.95,1.45,89.55,145.55,
1.45,0.95,88.55,157.05,
0.45,0.95,87.55,170.55,
0.95,0.45,86.55,186.55,
1.45,1.45,85.55,598.55,
